artist,artist_uri
ONEW,spotify:artist:7sZ5ipSoboWdqXkdj6AXHo
MOOK,spotify:artist:5Sqk710FhqXdb9YNDjM66Y
김진웅,spotify:artist:0slIcAQLtJUFLW2IF1y63I
Baek A Yeon,spotify:artist:5UKoKVlU7EDN4UgDuVRAbX
EB,spotify:artist:5dTfHslH6PS97tNNgDwYaC
CHO JUNG SEOK,spotify:artist:0MU0Hxwaz1daT4FVqx3Smz
JUNNY,spotify:artist:0lgENJQUkqkDbpsTYEayOr
Ha Hyunsang,spotify:artist:1jK4qH2wAXqF8v64zvaGRb
Jung Seung Hwan,spotify:artist:7l8rOFwZFQ3G0sgZ7gjGng
Baek Ji Young,spotify:artist:3l0MJ9LCiBlMyOMaz485Q5
WOODZ,spotify:artist:6y9nlaoynxSvoTGY09Vdcy
CHEEZE,spotify:artist:6NdzNrBP8Jbhzp6h7yojht
SEO SUNG HYUK,spotify:artist:2ekjryTkSjbaj67KrqSQzA
박지원,spotify:artist:7sYsnmmEZ0vpNVoz9V7h3E
Chancellor,spotify:artist:0u06YeydlBk3awnk5KgdBx
Seol Hoseung (SURL),spotify:artist:74eigHxPC6nhip2jnAili4
Kang Seung Yoon,spotify:artist:2Ip3x4XtEEhlGg8qI146jL
XIA,spotify:artist:0ZHbYuRbvC4tWW0iOdybwi
Jang Beom June,spotify:artist:529ZdRwFoSKtQ0LPwKxGiu
Kwak Jin Eon,spotify:artist:4xQ4GjBomHvTRL1GO624zd
Kim Dae Myeung,spotify:artist:3wGGJ9tGwM6K2ZaLH7bLN0
Gummy,spotify:artist:0hRHbwZ0xSwfVHl4FTv7jq
Kei,spotify:artist:4s8EHPyZqEOYgOPwgpdhmc
SUZANNE,spotify:artist:0NMJPa0Btok67TyE8Vxngc
Kassy,spotify:artist:6pU8o91xAS0aWNjj06nQSU
Seo Inguk,spotify:artist:6b5YOokI0zlMhsZm2mKvsY
Lee Mujin,spotify:artist:4Xj0peBt3EZHbdF20JmdWC
김로민,spotify:artist:0eVnIPoshBg7n2moMSWqpI
KIMMUSEUM,spotify:artist:1NVRvV0KqaO7VtSaVQcm3V
Kim Yuna,spotify:artist:5jiscb6yxuu9hj4BoW5Wea
Hui,spotify:artist:4R0tSGcVRQ8ZXPzttU8mHy
Davichi,spotify:artist:62hxRLLbCSFJjf4jI9zapY
공민정,spotify:artist:5GDZW7Mq6UWsS8WIRaqk2Q
Chuu,spotify:artist:1q86WVZhETqii5kKjEwYuB
YOO YEONJUNG,spotify:artist:35cW62cltZjFaHCCWeax6v
Solji,spotify:artist:54EEMb9uR0v9PWoWtQhTEo
Kim Bum Soo,spotify:artist:20K5puLWHL28ckI4LjieDt
ID:Earth,spotify:artist:6pORiOGjtqK2ww7PBBQFRt
Huh Gak,spotify:artist:49vOeJAPxAz6YmVZPNM7ys
AILEE,spotify:artist:3uGFTJ7JMllvhgGpumieHF
OnlyOneOf,spotify:artist:0iQGSzpJ0G0lsugv8jsJHd
Simon Dominic,spotify:artist:57W9ikVc6O2wLDtmclSjvN
Jang Na-ra,spotify:artist:2ToVzDfnPIfgFiqkXbLsYN
Youngjae,spotify:artist:5qUAtC3NwSLYme4JqjlGfQ
BIBI,spotify:artist:6UbmqUEgjLA6jAcXwbM1Z9
Lee Jin Ah,spotify:artist:4SzO3ea2qcjg1uLyNJAWnM
Bernard Park,spotify:artist:53Yqe3arWNbYQCw4kk1Qmv
K.Will,spotify:artist:1XNC9ksvgXeD1xRJruSA5t
oceanfromtheblue,spotify:artist:76eIrOIqck4yuOhrYZGx3a
TAEMIN,spotify:artist:13rF01aOogvnkuQXOlgTW8
Kang Seung Sik,spotify:artist:6KQYNyGaP0jX300OaEdaY0
GIRIBOY,spotify:artist:2MtHuR0W2idZdF7x4wddqq
SOYOU,spotify:artist:3b4kLCI0ZJW47TFsNRqgCb
Lee Yejoon,spotify:artist:3GS6aA2KRewQL4VhUtIpet
CHANYEOL,spotify:artist:6jV25rzTKQ2zMgrqHha1V5
BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF
Jessi,spotify:artist:64k5e9kV9MdukXjFrR5R37
Alesso,spotify:artist:4AVFqumd2ogHFlRbKIjp1t
Eric Nam,spotify:artist:2FLqlgckDKdmpBrvLAT5BM
JENNIE,spotify:artist:250b0Wlc5Vk0CoUsaCY84M
Chymes,spotify:artist:2aenOcvulZ1Zltq7bAdbi4
LeeHi,spotify:artist:7cVZApDoQZpS447nHTsNqu
CHUNG HA,spotify:artist:2PSJ6YriU7JsFucxACpU7Y
Hwa Sa,spotify:artist:7bmYpVgQub656uNTu6qGNQ
MAMAMOO,spotify:artist:0XATRDCYuuGhk0oE7C0o5G
IZ*ONE,spotify:artist:5r1tUTxVSgvBHnoDuDODPH
HEIZE,spotify:artist:5dCvSnVduaFleCnyy98JMo
YOUHA,spotify:artist:2lZFlNiQMLa2fuX3pkXcan
015B,spotify:artist:4uU7KfTjcjyKUGWSaTzLu7
SUNG DAM,spotify:artist:1JdJprpKvNgqBLGSDrMsv9
Hyolyn,spotify:artist:78sJswwVn4P8aEhkF4K6fQ
Nana Mellie,spotify:artist:0mEqQK9XLebClRou2o75oY
OuiOui,spotify:artist:11BHuhJ2jEMPNJ3WpwZVT8
Jang Jane,spotify:artist:41QP3s5kY0UroKcIeASAMY
KASPER,spotify:artist:6N8Wyy7G86YTHz3oIaJZjO
Lee Aram,spotify:artist:3j0Q7sspsBVQm6SdlkqYp1
SOLE,spotify:artist:6naXFodImN2DwRmKCQHAUt
YERI,spotify:artist:4xzwjGxzfKglU0cNW4q4l1
HAIL,spotify:artist:6ay9YyFyAgf6eORHdLKKDf
BoA,spotify:artist:4muJrGMndyYWqZtfk8OWy4
SURAN,spotify:artist:1mORehSVEd7lcaT2d7Sl2K
SAAY,spotify:artist:2pvCf5g7XBReiPIvcq7W18
Motte,spotify:artist:4bh77HBBwCekmEPcbXAljy
Henry,spotify:artist:1sjw4xq2pAWy5Vdgba5QAt
WENDY,spotify:artist:0FRUZvZNPzM3YJMABJxf2K
Hello Ga-Young,spotify:artist:1yewRvlKGWmNRHOSGgiRRo
Lee Soo Young,spotify:artist:6GrRqCT2aRWjPMUmPY8oR5
Kim Sung Kyu,spotify:artist:56mV6FhCrg12O6mOTLxo73
Crush,spotify:artist:6aLdhHUqgdKE86xbtNmY8g
CHEN,spotify:artist:0UEP2XBR9aC5NBKcAKnBIq
V,spotify:artist:3JsHnjpbhX4SnySpvpa9DK
DAVICHI,spotify:artist:4z6yrDz5GfKXkeQZjOaZdq
Jooyoung,spotify:artist:1vct46rBqLNRbE9wCibXUH
Paul Kim,spotify:artist:4qRXrzUmdy3p33lgvJEzdv
Lee Chan Sol,spotify:artist:7E09MibBCbxOQjZDdCx6q8
Gaho,spotify:artist:3ybZTNrlK0QhL4rBxfLHOc
Dvwn,spotify:artist:6WWUJGBY4ETAE22tRmgJ8b
Zion.T,spotify:artist:5HenzRvMtSrgtvU16XAoby
KYUHYUN,spotify:artist:0il5ZP3xYOECtONJtZ38Ln
10cm,spotify:artist:6zn0ihyAApAYV51zpXxdEp
Parc Jae Jung,spotify:artist:7kXQtwn3ZRTBc8JYNyGwQy
KIMSEJEONG,spotify:artist:1lFLniFTaPjYCtQZvDXpqu
Eddy Kim,spotify:artist:1sVSMPPNMMSZ7cQNfbvMOe
Kim Feel,spotify:artist:4EPYWwU4c8eG2GzD7MenUA
JEONG SEWOON,spotify:artist:2l9aF9jOgB7GI1uyNkx836
Suzy,spotify:artist:4U80LJd8sG6U9YTFP5izka
